id,kind,name,sellable_addon,default_status,admin_menu,appears_in,dependencies,related_apis,related_jobs,database_tables,notes
core.auth,shared_core,Authentication & Sessions,false,enabled_in_full_product,,All apps,,auth:*|RPC /rpc,,users|mobile_sessions,Required for every package.
core.users_permissions,shared_core,Users & Permissions,false,enabled_in_full_product,permissions / cashiers,Admin Panel|main-nav users,,auth:getUsers|auth:createUser|auth:updateUser,,users,
core.branches,shared_core,Branches & Tills,false,enabled_in_full_product,branches,Admin → Branches,,branches:*,,branches|branch_settings|branch_stock,
core.catalog,shared_core,Products / Categories / Stock,false,enabled_in_full_product,,main-nav products/categories/stock,,products:*|categories:*|stock:*|inventory:*,,products|categories|branch_stock|product_modifiers|product_variants,Base commerce data.
core.customers_suppliers,shared_core,Customers & Suppliers masters,false,enabled_in_full_product,,main-nav customers/suppliers,,customers:*|suppliers:*,,customers|suppliers,
core.payments,shared_core,Payment methods & gateways,false,enabled_in_full_product,payments,Admin → Payment Methods,,settings payment gateways|HTTP /api/webhooks/payments/*,payment webhook ingest,payment_gateways|payment_transactions|payment_webhook_events,
core.device_print,shared_core,"Device, Printer, Receipt",false,enabled_in_full_product,device / printer / receipt / cashdrawer,Admin device/printer/receipt,,print:*|printers:*|settings device,,pos_heartbeats,
core.settings,shared_core,Shop settings & setup,false,enabled_in_full_product,tax / formats / operating / shifts / customize / approvals,Admin tax/formats/operating/shifts/customize,,settings:*,,shop_settings|bookkeeping_settings,
core.audit_security,shared_core,"Audit, Security, Backup, DB tools",false,enabled_in_full_product,security / backup / database / system-health / developer,Admin + main-nav audit,,audit:*|backup:*|db:*|dev:*,storage snapshot every 6h,audit_log|pg_schema_migrations,
core.sync_notify,shared_core,Sync & notifications hub,false,enabled_in_full_product,,All cloud clients,,sync:*|notifications:*,,notifications|notification_acks|legacy_sync_outbox,
core.rpc_server,shared_core,HTTP RPC & static portal host,false,enabled_in_full_product,,Railway/cloud,,POST /rpc|GET /health,,,Infrastructure; not a customer SKU.
core.portals_hub,shared_core,Portals hub & shop profiles,false,enabled_in_full_product,,/portals.html|shop-profiles.js,,,,,
app.admin,major,Admin Panel,true,enabled_in_full_product,(host for all admin sections),/admin-app.html|mode admin|Windows/Android admin shells,core.auth|core.users_permissions|core.settings,settings:*|auth:*|many module APIs,,,Usually included; can be sold light vs full via admin_* submodules.
app.pos,major,POS Till,true,enabled_in_full_product,pos-menu + sales sections,/pos-app.html|mode pos|main-nav POS,core.catalog|core.payments|core.auth,sales:*|shifts:*|held:*|print:receipt,,sales|sale_items|held_orders|shifts|cash_drops,
app.staff,major,Staff Portal,true,enabled_in_full_product,staffportal / staffhr,/staff-app.html|mode staff|main-nav Staff Portal,core.auth|mod.hr,staff:*,,employees|employee_attendance|employee_leave|employee_portal_feed,
app.manager,major,Business Manager (mobile),true,enabled_in_full_product,business-manager / mobile-app,/manager/|manager shells,core.auth|app.admin,mobile:*,,mobile_app_users|mobile_devices|mobile_notifications|mobile_sessions,
app.mgr_hr,major,Mgr / Supervisor HR Portal,true,enabled_in_full_product,staffhr → mgr-* tabs,/mgr-hr-app.html|mode mgr-hr,mod.hr|app.staff,mgrHr:*,,manager_hr_*,
app.recipe,major,Recipe & Production,true,enabled_in_full_product,recipe,/recipe-app.html|mode recipe|main-nav recipe,core.catalog,recipe:*|waste:*,,product_recipe_items|production_batches|production_batch_items,
app.hr,major,"HR, Payroll & Documents",true,enabled_in_full_product,hr-workspace / hr-approvals / hrcontracts / payroll,mode hr|HR shells,app.staff|core.auth,hr:*|payroll:*|jobs:*,,hr_*|employee_*|payroll_compliance_submissions,Overlaps Staff Portal; decide bundle vs separate SKUs.
app.accounting,major,Business Accounting,true,enabled_in_full_product,accounting-workspace,/accounting-app.html|mode accounting|main-nav bookkeeping,core.catalog|core.payments,acc:*|bookkeeping:*,,acc_*|ledger_entries,
app.delivery,major,Delivery Department,true,enabled_in_full_product,delivery-dept,/delivery-app.html|mode delivery,mod.online|app.driver,delivery:*,,delivery_*,
app.driver,major,Driver App,true,enabled_in_full_product,delivery-dept,/driver/|/driver/register.html|/driver/track.html,app.delivery,driver:*|HTTP /api/driver-doc/*,,delivery_drivers|delivery_driver_sessions|delivery_assignments,
mod.online,major,Online Ordering,true,enabled_in_full_product,online-orders / customer-reports,/order/|customer-web|order shells,core.catalog|core.payments,web:*|HTTP /order/*|online payment intents,order notifications via cc/whatsapp if enabled,web_*|online_*|branch_online_settings,
mod.branding,major,Online / App Branding,true,enabled_in_full_product,customize / online-orders / menu-builder,Admin customize + online settings + menu builder,mod.online,settings:save|HTTP /api/logo|settings:getMenuHighlights,,shop_settings|branch_online_settings,Candidate add-on; partially exists today without a single dedicated editor SKU.
app.expenses,major,Expense Capture,true,enabled_in_full_product,(expenses via accounting/nav),/expenses/|main-nav expenses,core.auth|app.accounting,expenses:*|HTTP /api/expense-*,,expenses|expense_*|owner_fundings,
app.studio,major,Menu & Promo Studio,true,enabled_in_full_product,menu-builder / promo-video-builder,/studio/|studio-builder mode,core.catalog|mod.combos,studio platform APIs via RPC/settings,,flyer_templates|promotion_flyers|signage media overlap,
